fine value,/nmos0_U/D Y,/nmos1_U/D Y,/nmos2_U/D Y,/nmos3_U/D Y,/nmos4_U/D Y,/nmos5_U/D Y,/pmos0_U/S Y,/pmos1_U/S Y,/pmos2_U/S Y,/pmos3_U/S Y,/pmos4_U/S Y,/pmos5_U/S Y,/nmos_V<0> Y,/nmos_V<1> Y,/nmos_V<2> Y,/nmos_V<3> Y,/nmos_V<4> Y,/nmos_V<5> Y,/pmos_V<0> Y,/pmos_V<1> Y,/pmos_V<2> Y,/pmos_V<3> Y,/pmos_V<4> Y,/pmos_V<5> Y,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
245,6.876875955674653e-11,5.48824745642158e-10,4.375600009394416e-09,3.48427490356598e-08,2.775745965827691e-07,2.181776672720793e-06,6.411478730769774e-11,5.138494858515801e-10,4.117793045326479e-09,3.29551038880217e-08,2.650869615548957e-07,2.151269373586818e-06,0.2669210391264569,0.3468208424960977,0.430391224607438,0.5219723549488527,0.6266107747590711,0.7673289535064852,1.463872379825014,1.38634206981774,1.30455446521665,1.214126683277958,1.108476299977075,0.9489489283138379,,-0.28%,,,-0.24%
244,6.845347022903833e-11,5.463352182316146e-10,4.355055801048153e-09,3.467313509962738e-08,2.761701919973008e-07,2.171215460656372e-06,6.380833509834703e-11,5.112089841605189e-10,4.098416913309988e-09,3.279445253385791e-08,2.637426077750457e-07,2.140522834603992e-06,0.2667460911371597,0.3466431122501339,0.4301945692848776,0.5217439310249556,0.6263298605410339,0.7668960973121669,1.464042681501604,1.38651815576033,1.304747874994274,1.214352652591238,1.108767505964099,0.9494837894307402,,-0.33%,,,-0.32%
243,6.817846336852031e-11,5.438781522631734e-10,4.337277521047314e-09,3.453028616632978e-08,2.750549862456277e-07,2.163367432057458e-06,6.356356058141094e-11,5.091828847828633e-10,4.081634792570939e-09,3.265880862039818e-08,2.626531342722124e-07,2.132724549767185e-06,0.2665930530622577,0.3464767713558783,0.4300236738384462,0.5215507364230562,0.6261059035102465,0.7665735492176301,1.464186767277986,1.3866724450242,1.304916095224816,1.214544254462124,1.109005397898463,0.9498747328839722,,-0.33%,,,-0.27%
242,6.786296656757819e-11,5.415651634368737e-10,4.316737552475545e-09,3.436066521727844e-08,2.736505722972651e-07,2.152804149591638e-06,6.325660480914058e-11,5.070232115218925e-10,4.062257361654014e-09,3.249825138902452e-08,2.613133269141364e-07,2.12224302757999e-06,0.2664167859380303,0.3463003694144973,0.4298253963877223,0.5213203566947392,0.62582273676422,0.7661382273469687,1.464361380444897,1.38685014467841,1.305111149834769,1.214772011583017,1.109298092618918,0.9503985760393284,,-0.38%,,,-0.35%
241,6.755825720734748e-11,5.39142158204003e-10,4.297279999640034e-09,3.420131965634486e-08,2.723556550362077e-07,2.143322232811555e-06,6.298398847766192e-11,5.047624982522841e-10,4.043897953448515e-09,3.234691683496799e-08,2.600545767556268e-07,2.112728192825606e-06,0.266245933864473,0.3461251788962024,0.429636734833566,0.5211029575648616,0.6255605204777978,0.7657462772615357,1.464525769496053,1.387019529068896,1.305296774470105,1.214987651585742,1.109575384918323,0.9508772785642263,,-0.42%,,,-0.38%
240,6.723675332879954e-11,5.366305369015718e-10,4.276735169578902e-09,3.403169404442384e-08,2.709512821912709e-07,2.13275583722466e-06,6.268394181365395e-11,5.023429628943106e-10,4.024513497587471e-09,3.218616201100612e-08,2.587109634829427e-07,2.10221858330901e-06,0.26606436944954,0.3459424092510053,0.4294366432422737,0.5208704848595074,0.6252749055714181,0.7653081897330293,1.464695352246583,1.387198808950205,1.305493634266416,1.215217750897305,1.109871023379448,0.9514058033386157,,-0.48%,,,-0.46%
239,6.710388928569726e-11,5.353594885166224e-10,4.268571132158396e-09,3.398885646592379e-08,2.708996628085345e-07,2.131892822534481e-06,6.255979287387459e-11,5.009831201117538e-10,4.017766494820837e-09,3.214569832891433e-08,2.586587687728609e-07,2.101385066888764e-06,0.265995966158289,0.3458602445739835,0.4293568764562907,0.5208116035744489,0.6252643828258696,0.7652723754377463,1.464766448997959,1.387281032813385,1.305562365270371,1.21527583866913,1.10987995249059,0.9514481163907498,,-0.26%,,,-0.08%
238,6.678253991077267e-11,5.329371127376552e-10,4.248028978814102e-09,3.381888787789854e-08,2.694904070706531e-07,2.121323901695072e-06,6.225965168161456e-11,4.988278673809946e-10,3.998382596993281e-09,3.198442976687698e-08,2.573072988969157e-07,2.090906724604433e-06,0.2658067407666347,0.3456725595519268,0.4291555226536228,0.5205772883745207,0.624976422958859,0.764832630350462,1.464944498119442,1.387461634315132,1.305760439077668,1.21550802993844,1.110182027613981,0.9519772315149743,,-0.33%,,,-0.16%
237,6.648399407433871e-11,5.305087053468691e-10,4.228580842302823e-09,3.365953265225031e-08,2.682000356997891e-07,2.111839229034867e-06,6.198004219616621e-11,4.966603332972123e-10,3.980012225822374e-09,3.183367545176494e-08,2.560508543978516e-07,2.081363932505002e-06,0.2656366435545898,0.3454944296259611,0.4289640332963728,0.5203565973226276,0.6247115980012194,0.7644367889242725,1.465115734318012,1.387633707418705,1.305949000425132,1.215726075656981,1.110462472718404,0.9524614786921137,,-0.35%,,,-0.19%
236,6.616198785076412e-11,5.27998950455615e-10,4.208023801640827e-09,3.349038879535719e-08,2.667935309005866e-07,2.101268857902562e-06,6.168009153689284e-11,4.941909786914421e-10,3.960629008935575e-09,3.167274407832734e-08,2.547047007148825e-07,2.0707135376777e-06,0.2654518749664277,0.3453088903559504,0.4287607085318741,0.5201212733312655,0.6244216660019783,0.7639942955399532,1.46528761603266,1.387815710347779,1.306148857202816,1.215959909870223,1.110762414613262,0.9530017007374763,,-0.42%,,,-0.27%
235,6.587915452358642e-11,5.257932850527743e-10,4.190240453776612e-09,3.334751639758293e-08,2.656802418686611e-07,2.093415353981367e-06,6.142887897137112e-11,4.921866726432686e-10,3.943847535942288e-09,3.153761929319196e-08,2.536126361368665e-07,2.062907917135885e-06,0.2652985248717509,0.3451453771933773,0.428584050601347,0.5199216282156217,0.6241912263848444,0.7636645901584296,1.465442482291954,1.38797524902577,1.306322640306559,1.21615710715865,1.111007926599472,0.9534005745851798,,-0.42%,,,-0.22%
234,6.55727047459296e-11,5.232917060664102e-10,4.169706890664813e-09,3.31774789833041e-08,2.642761493343488e-07,2.08284311324194e-06,6.112886106643945e-11,4.897359879476184e-10,3.924453601573679e-09,3.137628258821211e-08,2.5227681355573e-07,2.052280095718015e-06,0.2651118603602793,0.3449591117675589,0.4283791789483213,0.5196829734382782,0.6238993846722108,0.7632194789305633,1.465616937922435,1.388158969434259,1.306524355007689,1.216393595557547,1.111308295743175,0.9539419594978672,,-0.47%,,,-0.31%
233,6.52727434046373e-11,5.208239339935101e-10,4.150253932495898e-09,3.301810420106835e-08,2.629815154247007e-07,2.073354344694284e-06,6.084931103384098e-11,4.875732105161791e-10,3.906078192764413e-09,3.122569370932047e-08,2.510202006898373e-07,2.042839945520266e-06,0.2649378713650488,0.3447748091598562,0.4281841976436901,0.5194582383095182,0.6236290879830415,0.7628187323621082,1.465791624272103,1.388334254943266,1.306716352427244,1.21661535873763,1.111593465523817,0.9544262387664049,,-0.50%,,,-0.34%
232,6.495851984442648e-11,5.183160110414512e-10,4.129692278532341e-09,3.284846954648788e-08,2.615768109672325e-07,2.062779077008401e-06,6.054923896429058e-11,4.850967143300916e-10,3.886698912680127e-09,3.106409106695206e-08,2.496742152793988e-07,2.032298496179867e-06,0.2647542369845667,0.344586018309814,0.4279771518435862,0.5192179129977956,0.6233344882655942,0.7623706842595965,1.465966237549591,1.388519614190868,1.306919771599922,1.216854457350238,1.111898319270435,0.9549667128658984,,-0.55%,,,-0.42%
231,6.473077749192758e-11,5.164153716341882e-10,4.115100358319067e-09,3.273786854990333e-08,2.6081326553841e-07,2.057658879517997e-06,6.034375842009158e-11,4.834577512687146e-10,3.872925231157201e-09,3.096058197046409e-08,2.48939387113528e-07,2.027176071279742e-06,0.2646210055170697,0.3444447929141031,0.427829619785838,0.5190605931386725,0.6231737724367945,0.7621532159165281,1.466097667085497,1.388644773242959,1.30706493745453,1.217008216231841,1.112064414790011,0.9552316012519021,,-0.47%,,,-0.24%
230,6.440965700183633e-11,5.138968252495297e-10,4.093595507262378e-09,3.256825580222511e-08,2.594084539400362e-07,2.047080712070663e-06,6.004351605121399e-11,4.8107865967202e-10,3.852608047263453e-09,3.079941498421835e-08,2.475801876643741e-07,2.016628397572142e-06,0.2644317983445473,0.3442516995009418,0.4276112805823784,0.5188183614643457,0.6228769978510295,0.7617028117658882,1.466281198085917,1.388843051002964,1.307279966074582,1.217248584189015,1.112378039032463,0.9557758139143776,,-0.54%,,,-0.32%
